제품명,평균_점수,총_점수
(오! 캘리포니아 컬렉션) 매직프레스 페디큐어 슈퍼 슬림핏,1.2913636185500539,9.039545329850377
포어 클리닝 모공 브러시,1.2913569729193703,24.535782485468037
바디슬리밍 핫 테라피 크림,1.2913528167574373,43.90599576975287
비건 캡슐 핸드크림 [오리엔탈 라벤더],1.2913521723709414,100.72546944493342
네일 에센스 포켓펜,1.2913475067393076,25.826950134786152
인투 더 워터홀 앰플,1.291342785977128,94.26802337633035
달빛유자 비타톤업 애플존 패드,1.291341458461038,96.85060938457787
피네 선CC 쿠션 [SPF50+/PA++++],1.2913404802198265,71.02372641209045
블랙 유자 빈 밀크 클렌져,1.2913313213375721,90.39319249363005
데일리 선크림 [SPF50/PA+++],1.2913263382137612,71.02294860175687
포인트 클리닉 남성청결제,1.2913173593998917,15.495808312798701
소프트 포뮬라 펜슬 [컨실러],1.2913071437621149,130.4220215199736
수딩 핑크 톤업 선크림 [SPF50+/PA++++],1.2912927271877002,152.3725418081486
비첩 자생 에센스,1.2912925496470389,99.42952632282199
세라믹 괄사 마사저,1.2912914024795787,59.39940451406062
데일리 디펜스 카밍 선크림 [SPF50+/PA++++],1.2912735099087094,125.2535304611448
필오프 베이스젤,1.2912614994673308,49.06793697975857
자작나무 수분 선스틱 [SPF50+/PA++++],1.291256932849868,100.7180407622897
하이드라비오 히알루+ 세럼,1.2912547593841555,118.7954378633423
어반 쉐이드 쿨카밍 선스틱 [SPF50+/PA++++],1.2912367788868557,149.78346635087527
숄 모먼트 아이섀도우 팔레트,1.2912269058888521,148.491094177218
수딩 리페어 토닝 패드 R4,1.29122595494564,140.74362908907474
프로 아이 유니버스 [이터널 스페이스],1.2912243552691087,51.64897421076435
바리스타 핸드크림,1.291206347198628,134.2854601086573
아이리스 페이스 프라이머,1.2912026414031337,116.20823772628204
루트 그로우 안티 헤어로스 샴푸,1.2911978607910772,144.61416040860064
넥앤숄더 크림,1.2911948908984716,50.356600745040396
밀착 세팅 픽서,1.2911855751095689,18.076598051533963
모이스춰라이징 크림,1.2911803917675047,78.76200389781778
아토덤 투인원 오일,1.2911717601154156,109.74959960981032
공진향미 궁중동안립밤,1.2911692489728057,116.20523240755251
아이 프라이머 나크로스,1.291162033093862,83.92553215110104
세라엠디 리페어 오일,1.29114569468196,56.81041056600623
그루밍 토닉,1.2911426910731758,12.911426910731759
(썸머 오브 글로우 컬렉션) 레 베쥬 헬시 글로우 내추럴 아이섀도우 팔레트,1.291131592932148,81.34129035472533
스마일리 립 블렌딩 스틱,1.2911304226132454,54.22747774975631
립 스머져,1.2911269613859173,69.72085591483953
펩타이드 크림 스킨 모이스처라이징 토너,1.2911253650196028,156.22616916737195
핸드 앤 네일 로션 클래식,1.291123819460349,114.91001993197105
내추럴 발효 동백오일 100,1.2911158302917476,87.79587645983884
아이시화이트,1.2911102348516912,23.239984227330442
프로 비건 에센스 선 [SPF50+/PA++++],1.2911047446109056,152.35035986408687
진생 덴시티 두피 세럼,1.291098481750799,99.41458309481153
모이스처 밸런싱 마스크,1.2910978809142224,140.72966901965023
비건 EGF 시카 워터 선앰플 [SPF50+/PA++++],1.2910963439953644,131.69182708752717
2in1 하이라이터 컨투어 팔레트,1.2910944758485032,9.037661330939523
브라이트닝 폼클렌징,1.2910892683996722,5.164357073598689
밸런싱 토너 미스트,1.291073674009534,154.92884088114408
퀵 선스틱 프로텍션 바 [SPF50+/PA++++],1.291066488253012,117.4870504310241
샤인 온 미 네일 컬러,1.2910663747544278,87.7925134833011
베리 하이 프로텍션 선 로션 [SPF50+],1.2910633696271432,7.746380217762859
블루 캐모마일 히알루로닉 수분 크림,1.2910552701406608,123.94130593350344
인텐시브 리파이닝 에멀젼,1.2910400991567745,154.92481189881295
데오프레쉬 바디 프라이머,1.2910372441348659,153.63343205204905
어성초 수분 선크림 [SPF50+/PA++++],1.291036525354788,98.11877592696389
어성초 진정 클린 폼,1.2910361540117303,136.84983232524343
아줄렌 마일드 UV 톤업 선 프라이머 [SPF50+/PA++++],1.2910343585361694,99.40964560728504
프로바이오덤 리프팅 괄사 마사저,1.291032699367024,82.62609275948954
프리미엄 비건 톤업 선크림 [SPF50+/PA++++],1.2910311571263273,94.24527447022189
샴푸 앤 바스,1.2910305546900587,47.76813052353217
더블이펙트 워터프루프 아이펜슬,1.2910223871599478,170.4149551051131
마일드 딥 클렌징 오일,1.29101805387258,94.24431793269834
벨벳 립 펜슬,1.2910142584140112,143.30258268395525
브이 코어텍틴 선 모이스처 에센스 [SPF50+/PA++++],1.2910130534302917,114.90016175529595
아르간 테라피 리페어링 샴푸,1.2910079847596396,94.2435828874537
리더스 퍼스트 샷 에센스 스틱 에이지 컨트롤,1.2910071529923515,139.42877252317396
더블 래스팅 아티스트 컨실러 팔레트,1.2910053016771421,87.78836051404566
